appid,name,missing_fields,source_appdetails,source_html_fallback
3800680,My Sadistic Yandere Goth Girlfriend is My Boss,review_count,True,False
3784450,Dominated by: Yandere Goth Co-worker,review_count,True,False
4064880,Papuan Dominatrixes Are the Best,review_count,True,False
2406080,A Night With Maru,review_count,True,False
3954100,Yandere Goth Delinquent Trouble 2,review_count,True,False
3845640,我的異世界飯店,"price_twd_original,review_count",True,False
4103530,Heatwave: Sam's Stay,"price_twd_original,review_count",True,False
4268110,CONDUIT,"price_twd_original,review_count",True,False
4554540,Carnal After Dark™,"price_twd_original,release_date,review_count",True,False
4268960,Catgirls Rhythm Game,"price_twd_original,release_date,review_count",True,False
3488890,Sayaka: My Naughty Milf Neighbor,"price_twd_original,release_date,review_count",True,False
4498120,Hentai Tales: Breed Me - Sensei,"price_twd_original,review_count",True,False
4576180,BDSM Sex - Futanari,"price_twd_original,review_count",True,False
4451320,Goth Femboy Desire,"price_twd_original,review_count",True,False
4194170,Blade or Balls 🧝‍♀️🧌,"price_twd_original,release_date,review_count",True,False
4156180,My Girlfriend's New Kink,"price_twd_original,release_date,review_count",True,False
4489830,Mango: The Saga of the Tavern,"price_twd_original,review_count",True,False
4213140,Femboy House,"price_twd_original,release_date,review_count",True,False
4436120,WHOREHAMMER,"price_twd_original,review_count",True,False
3610830,Gagged Love: My MILF Neighbor,"price_twd_original,review_count",True,False
2941980,幻想中世妓 : Gaudens,"price_twd_original,review_count",True,False
4071450,Pink Light,"price_twd_original,review_count",True,False
4598070,Strict Sensei,review_count,True,False
4126410,Lucky Flash,"price_twd_original,review_count",True,False
3089600,S.X.E. Slider: Cyber Sliders,review_count,True,False
3961920,Yandere Goth BDSM 3,review_count,True,False
1479780,Our Apartment,"price_twd_original,review_count",True,False
2548360,GADGET GUY: The Beginning,"price_twd_original,release_date,review_count",True,False
4207080,愛的禮儀指導,"price_twd_original,review_count",True,False
3946300,I Married My Giant Yandere Goth Bully,review_count,True,False
3903880,NTR介紹所,"price_twd_original,review_count",True,False
2572150,MY VIRGIN ROOMMATE,"price_twd_original,review_count",True,False
4038620,My Giant Sexy Sensei Bullies Me 4,review_count,True,False
4458870,My Goth Roommate,"price_twd_original,review_count",True,False
4300470,Look at our: Cyber-butts,"price_twd_original,review_count",True,False
4024840,Feminization Factory,"price_twd_original,release_date,review_count",True,False
4341650,The Night We Met,"price_twd_original,release_date,review_count",True,False
4103150,捉鬼敢生隊,"price_twd_original,review_count",True,False
4272570,Futa on Top,"price_twd_original,release_date,review_count",True,False
3711590,45號電車,"price_twd_original,release_date,review_count",True,False
3048190,Bubbles & Babes,"price_twd_original,review_count",True,False
4463730,Sexpatch: Horny Capes,"price_twd_original,review_count",True,False
3854420,My Lovable Demon,"price_twd_original,review_count",True,False
3990010,Benefitship: The Hallowed Wiener,"price_twd_original,review_count",True,False
4134910,Moonlight: Season One,"price_twd_original,review_count",True,False
4028930,My Giant Sexy Sensei Bullies Me 3,review_count,True,False
4578720,Orc Bastion,"price_twd_original,release_date,review_count",True,False
3633750,冒險途中全員告白,"price_twd_original,review_count",True,False
3585690,Crown of Lust,"price_twd_original,review_count",True,False
3859560,Dominated by: Yandere Goth Roommate,review_count,True,False
4633230,Wild West Furry - Hentai Jigsaw,"price_twd_original,review_count",True,False
3938880,在站哨和掃地之間，我選擇修機娘,"price_twd_original,review_count",True,False
3959000,Yandere Goth BDSM 2,review_count,True,False
4071470,DepraviA,"price_twd_original,review_count",True,False
3839130,Dominated by: Yandere Goth Bunny 2,review_count,True,False
3217330,LUST RUSH,"price_twd_original,release_date,review_count",True,False
4483210,新搬来的大姐姐真是太可爱了！,"price_twd_original,review_count",True,False
2173930,NTRaholic Remix,"price_twd_original,review_count",True,False
4065090,職場的30天,"price_twd_original,release_date,review_count",True,False
4367740,Survival Guide,"price_twd_original,release_date,review_count",True,False
4511770,Rent a Boyfriend,"price_twd_original,release_date,review_count",True,False
4485710,Corruption Brothel,"price_twd_original,review_count",True,False
